trial,w_duration,intrinsic,n_kawuta,n_kawta,n_kaQta,n_kauta,n_koota
0,0,production,0,0,0,10,0
0,0,update,0,0,0,10,0
0,1,production,8,0,0,2,0
0,1,update,10,0,0,0,0
0,2,production,10,0,0,0,0
0,2,update,10,0,0,0,0
0,3,production,10,0,0,0,0
0,3,update,10,0,0,0,0
1,0,production,0,0,0,10,0
1,0,update,0,0,0,10,0
1,1,production,8,0,0,2,0
1,1,update,8,0,0,1,0
1,2,production,10,0,0,0,0
1,2,update,10,0,0,0,0
1,3,production,10,0,0,0,0
1,3,update,10,0,0,0,0
2,0,production,0,0,0,10,0
2,0,update,0,0,0,10,0
2,1,production,10,0,0,0,0
2,1,update,10,0,0,0,0
2,2,production,10,0,0,0,0
2,2,update,10,0,0,0,0
2,3,production,10,0,0,0,0
2,3,update,10,0,0,0,0
3,0,production,0,0,0,10,0
3,0,update,0,0,0,10,0
3,1,production,7,0,0,2,0
3,1,update,10,0,0,0,0
3,2,production,10,0,0,0,0
3,2,update,10,0,0,0,0
3,3,production,10,0,0,0,0
3,3,update,10,0,0,0,0
4,0,production,0,0,0,10,0
4,0,update,0,0,0,10,0
4,1,production,8,0,0,2,0
4,1,update,9,0,0,1,0
4,2,production,9,0,0,0,0
4,2,update,10,0,0,0,0
4,3,production,10,0,0,0,0
4,3,update,9,0,0,0,0
5,0,production,0,0,0,10,0
5,0,update,0,0,0,10,0
5,1,production,10,0,0,0,0
5,1,update,10,0,0,0,0
5,2,production,10,0,0,0,0
5,2,update,10,0,0,0,0
5,3,production,9,0,0,0,0
5,3,update,10,0,0,0,0
6,0,production,0,0,0,10,0
6,0,update,0,0,0,10,0
6,1,production,9,0,0,1,0
6,1,update,10,0,0,0,0
6,2,production,10,0,0,0,0
6,2,update,10,0,0,0,0
6,3,production,10,0,0,0,0
6,3,update,10,0,0,0,0
7,0,production,0,0,0,9,0
7,0,update,0,0,0,10,0
7,1,production,9,0,0,1,0
7,1,update,9,0,0,1,0
7,2,production,10,0,0,0,0
7,2,update,10,0,0,0,0
7,3,production,10,0,0,0,0
7,3,update,9,0,0,0,0
8,0,production,0,0,0,10,0
8,0,update,0,0,0,10,0
8,1,production,10,0,0,0,0
8,1,update,9,0,0,0,0
8,2,production,10,0,0,0,0
8,2,update,10,0,0,0,0
8,3,production,10,0,0,0,0
8,3,update,10,0,0,0,0
9,0,production,0,0,0,10,0
9,0,update,0,0,0,10,0
9,1,production,10,0,0,0,0
9,1,update,10,0,0,0,0
9,2,production,10,0,0,0,0
9,2,update,10,0,0,0,0
9,3,production,10,0,0,0,0
9,3,update,10,0,0,0,0
